"id","category","name","old_price","new_price","discount","deals","url"
"156","Dziecko","Buty dziecięce Kappa Kickoff K 260509K-1140","79,00 zł","75,00 zł","-5%","19 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-kappa-kickoff-k-260509k-1140-10504231411"
"4","Dziecko","Mattel Gra Pictionary Air GPL54","99,00 zł","71,99 zł","-27%","138 osób kupiło","https://allegro.pl/oferta/mattel-gra-pictionary-air-gpl54-9527590716"
"92","Dziecko","Buty sportowe Kappa Dacer T 260683T-1116","99,00 zł","88,00 zł","-11%","23 osoby kupiły","https://allegro.pl/oferta/buty-sportowe-kappa-dacer-t-260683t-1116-10540506219"
"74","Dziecko","Huśtawka dla dzieci MOCNA ZAWIESZANA siedzisko 4w1","199,00 zł","129,00 zł","-35%","110 osób kupiło","https://allegro.pl/oferta/hustawka-dla-dzieci-mocna-zawieszana-siedzisko-4w1-9221177467"
"190","Dziecko","Buty dziecięce Kappa Dalton K 260779K-1110","79,00 zł","77,00 zł","-2%","5 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-kappa-dalton-k-260779k-1110-10540608864"
"188","Dziecko","Buty dziecięce sportowe Kappa Furbo K 260776K-4011","79,00 zł","77,00 zł","-2%","7 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-sportowe-kappa-furbo-k-260776k-4011-10536807495"
"93","Dziecko","Książeczka sensoryczna kontrastowa gryzak metki 0+","69,99 zł","29,99 zł","-57%","126 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=c0bdd7bf-a6b6-4fb3-aecc-e1b9d07b17a5&emission_id=701f40ec-0bb3-49a0-9387-6881a27f9b60&type=OFFER&ts=1617120136906&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fksiazeczka-sensoryczna-kontrastowa-gryzak-metki-0-7356260028%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DYjUzYTM0NzItNDg5OC00MzIxLTk4MTUtMmM0MTBlYjIzNTJjAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=25167d1b9a38f0aed2fa54159892aaee"
"143","Dziecko","Mleko modyfikowane Bebilon 4 Advance - 800g","48,00 zł","43,49 zł","-9%","71 osób kupiło","https://allegro.pl/oferta/mleko-modyfikowane-bebilon-4-advance-800g-10437845473"
"33","Dziecko","GRA ZABAWA W SZALONEGO PIRATA W BECZCE UKŁUJ GO","49,00 zł","5,99 zł","-87%","14 osób kupiło","https://allegro.pl/oferta/gra-zabawa-w-szalonego-pirata-w-beczce-ukluj-go-10195897706"
"5","Dziecko","POŚCIEL DZIECIĘCA BAWEŁNA 160x200 2x POSZEWKA","36,99 zł","33,29 zł","wyprzedaż","149 osób kupiło","https://allegro.pl/oferta/posciel-dziecieca-bawelna-160x200-2x-poszewka-8875537666"
"138","Dziecko","Zestaw Solidny traktor napęd na pedały + przyczepa","240,00 zł","219,00 zł","-8%","4 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=b84fb803-080d-4348-9531-692e67a286f4&emission_id=701f40ec-0bb3-49a0-9387-6881a27f9b60&type=OFFER&ts=1617120136906&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fzestaw-solidny-traktor-naped-na-pedaly-przyczepa-5697249329%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DMDhhNjc1Y2EtNWIzYS00ODgzLWI4ZjEtMjQyNjI0MGU3Zjc0AA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=cb913585f2495db394a9fb0e9f8ccd7c"
"68","Dziecko","Pampers PURE Protect 3 Midi 124 szt","187,00 zł","119,60 zł","-36%","354 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=4422cc8e-05e9-4a98-ac2c-d543f320380e&emission_id=c4ecb653-23f6-4845-a3a7-b8f021a5ee50&type=OFFER&ts=1617120135365&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fpampers-pure-protect-3-midi-124-szt-8400031946%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DZDM0YWFkZjMtMzg0Yy00NDYzLWJhYjMtMjgyN2M0OGZlMTFkAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=f5d3d6c5840cf91b2d8df50c299a577b"
"89","Dziecko","TERMOMETR BEZDOTYKOWY na podczerwień Vitammy SPOT","299,00 zł","117,00 zł","-60%","","https://allegro.pl/oferta/termometr-bezdotykowy-na-podczerwien-vitammy-spot-9961825914"
"1","Dziecko","DUŻY EDUKACYJNY TABLET DOTYKOWY POLSKA WERSJA","42,90 zł","29,90 zł","-30%","150 osób kupiło","https://allegro.pl/events/clicks?emission_unit_id=e9e39c55-608a-4338-9f28-4a53469a0274&emission_id=c4ecb653-23f6-4845-a3a7-b8f021a5ee50&type=OFFER&ts=1617120135364&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fduzy-edukacyjny-tablet-dotykowy-polska-wersja-7215044492%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DZDNlMjczNzUtZmM0Ny00ZTYxLTlmNjUtMzk3MTg0YzZiYTBhAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=5b189b7a625dd1cca9945ae34c87d20c"
"158","Dziecko","Buty sportowe Kappa Dacer T 260683T-1016","99,90 zł","88,00 zł","-11%","5 osób kupiło","https://allegro.pl/oferta/buty-sportowe-kappa-dacer-t-260683t-1016-10536353610"
"173","Dziecko","TRAMPOLINA OGRODOWA 6f CZARNA Z SIATKĄ 220/183cm","999,00 zł","840,00 zł","-15%","","https://allegro.pl/events/clicks?emission_unit_id=dc51be80-c153-4691-9746-6d4a43892094&emission_id=8d5ccea0-7186-4ab1-8ed8-ea09b21393c5&type=OFFER&ts=1617120138443&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Ftrampolina-ogrodowa-6f-czarna-z-siatka-220-183cm-10540768558%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DOWNkYThhYWItNzc3Yi00NDY4LThlNjAtNDRmOGQ2MDUzNzFkAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=c71f384d4642041d6dd94a9c78f265c6"
"20","Dziecko","Koraliki do prasowania La Manuli 10000szt 9 WZORÓW","149,00 zł","109,00 zł","Smart! okazja","41 osób kupiło","https://allegro.pl/oferta/koraliki-do-prasowania-la-manuli-10000szt-9-wzorow-9095716612"
"176","Dziecko","Buty sportowe Kappa Kickoff K 260509K-6011","79,00 zł","77,00 zł","-2%","7 osób kupiło","https://allegro.pl/oferta/buty-sportowe-kappa-kickoff-k-260509k-6011-10536285337"
"141","Dziecko","Buty dziecięce, sportowe Kappa Follow 260604-6033","79,00 zł","69,00 zł","-12%","16 osób kupiło","https://allegro.pl/oferta/buty-dzieciece-sportowe-kappa-follow-260604-6033-10504209081"
"23","Dziecko","POŚCIEL DZIECIĘCA 160x200 BAWEŁNA SATYNA POSZEWKA","94,99 zł","38,04 zł","-59%","28 osób kupiło","https://allegro.pl/oferta/posciel-dziecieca-160x200-bawelna-satyna-poszewka-9052370616"
"36","Dziecko","Warkocz do łóżeczka 200cm ochraniacz Supełkowelove","149,00 zł","129,00 zł","-13%","51 osób kupiło","https://allegro.pl/oferta/warkocz-do-lozeczka-200cm-ochraniacz-supelkowelove-7817077944"
"39","Dziecko","ŁÓŻKO DOMEK DZIECIĘCE 160x80 BIEL SZARY KOLORY D5C","799,00 zł","615,00 zł","-23%","6 osób kupiło","https://allegro.pl/oferta/lozko-domek-dzieciece-160x80-biel-szary-kolory-d5c-9189554731"
