"id","category","name","old_price","new_price","discount","deals","url"
"102","Kolekcje i sztuka","1 pamiątkowa moneta Bitcoin","17,90 zł","16,11 zł","wyprzedaż","5 osób kupiło","https://allegro.pl/oferta/1-pamiatkowa-moneta-bitcoin-10428817122"
"36","Kolekcje i sztuka","ZESTAW KRAWIECKI DO SZYCIA IGŁY KOMPLET IGIEŁ IGŁA","9,00 zł","4,99 zł","-44%","111 osób kupiło","https://allegro.pl/oferta/zestaw-krawiecki-do-szycia-igly-komplet-igiel-igla-9938909661"
"137","Kolekcje i sztuka","Waporyzator XMAX Vital fenix + Młynek + Amnesia 1g","349,00 zł","329,00 zł","-5%","3 osoby kupiły","https://allegro.pl/events/clicks?emission_unit_id=81de459e-2405-43d2-a92a-7a1d04168418&emission_id=2166cbdc-c9c2-412d-b39e-e048b80b9d04&type=OFFER&ts=1617120144250&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fwaporyzator-xmax-vital-fenix-mlynek-amnesia-1g-9090327841%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Aqueryandcategory%26bi_c%3DODQwN2NiMzItNjkxMS00ZThkLWExMjgtZTcyNGQ4MzJiYWRkAA%26bi_t%3Dape&placement=listing:desktop:queryandcategory&sig=69e204abde0a0732499c0ab6181a2a57"
"80","Kolekcje i sztuka","ZAPALNICZKA plazmowa USB dotykowa KLASYCZNA","79,90 zł","40,00 zł","-49%","54 osoby kupiły","https://allegro.pl/oferta/zapalniczka-plazmowa-usb-dotykowa-klasyczna-9983095810"
"91","Kolekcje i sztuka","MIKROSKOP KIESZONKOWY LUPA SZKŁO POWIĘKSZAJĄCE 60X","82,00 zł","15,99 zł","-80%","70 osób kupiło","https://allegro.pl/oferta/mikroskop-kieszonkowy-lupa-szklo-powiekszajace-60x-9497965836"
"92","Kolekcje i sztuka","Kulki kapsułki do papierosów smakowe miętowe mint","29,99 zł","8,99 zł","-70%","133 osoby kupiły","https://allegro.pl/oferta/kulki-kapsulki-do-papierosow-smakowe-mietowe-mint-9781333446"
"5","Kolekcje i sztuka","APLIKATOR nabijarka kulki smakowe do papierosów","39,99 zł","27,99 zł","-30%","8 osób kupiło","https://allegro.pl/oferta/aplikator-nabijarka-kulki-smakowe-do-papierosow-10508003778"
"25","Kolekcje i sztuka","DRON TD06 Z KAMERĄ WIFI PODGLĄD NA ŻYWO VR +GRATIS","198,00 zł","179,00 zł","-9%","27 osób kupiło","https://allegro.pl/oferta/dron-td06-z-kamera-wifi-podglad-na-zywo-vr-gratis-10201061476"
"19","Kolekcje i sztuka","MINI DRON Z KAMERA F86 4K HD ZAWIS RC QUADCOPTER","589,90 zł","299,00 zł","-49%","32 osoby kupiły","https://allegro.pl/oferta/mini-dron-z-kamera-f86-4k-hd-zawis-rc-quadcopter-9789782037"
"90","Kolekcje i sztuka","GAZ DO ZAPALNICZEK PALNIK KOŃCÓWKI ZAPALARKI","29,00 zł","8,99 zł","-69%","81 osób kupiło","https://allegro.pl/oferta/gaz-do-zapalniczek-palnik-koncowki-zapalarki-9243042095"
