"category","name","old_price","new_price","discount","deals","url"
"Elektronika","OSUSZACZ POWIETRZA POCHŁANIACZ WILGOCI 1700ml 90W","700,00 zł","299,00 zł","-57%","66 osób kupiło","https://allegro.pl/oferta/osuszacz-powietrza-pochlaniacz-wilgoci-1700ml-90w-8750172673"
"Elektronika","SŁUCHAWKI BEZPRZEWODOWE WODOODPORNE Bluetooth V5.1","159,00 zł","69,00 zł","-56%","108 osób kupiło","https://allegro.pl/oferta/sluchawki-bezprzewodowe-wodoodporne-bluetooth-v5-1-10042959536"
"Elektronika","KAMERA SPORTOWA FULL HD 1080P PRO WODOODPORNA","199,00 zł","69,00 zł","-65%","70 osób kupiło","https://allegro.pl/oferta/kamera-sportowa-full-hd-1080p-pro-wodoodporna-9756535062"
"Elektronika","SREBRNY HP 15 AMD Athlon / 8GB/ 256GB SSD/ Win 10","2499,00 zł","2 079,00 zł","-16%","30 osób kupiło","https://allegro.pl/oferta/srebrny-hp-15-amd-athlon-8gb-256gb-ssd-win-10-10110206911"
"Elektronika","Wzmacniacz sygnału WiFi - FRITZ!WLAN Repeater 310","139,00 zł","99,00 zł","-28%","691 osób kupiło","https://allegro.pl/oferta/wzmacniacz-sygnalu-wifi-fritz-wlan-repeater-310-6667427150"
"Elektronika","Limitowana butelka filtrująca DAFI 0,5L + 3 filtry","64,90 zł","54,90 zł","Smart! okazja","5 osób kupiło","https://allegro.pl/oferta/limitowana-butelka-filtrujaca-dafi-0-5l-3-filtry-8772778122"
"Elektronika","Słuchawka Bluetooth 5.1 Feegar BOND Pro 16h + Etui","279,00 zł","179,00 zł","-35%","70 osób kupiło","https://allegro.pl/oferta/sluchawka-bluetooth-5-1-feegar-bond-pro-16h-etui-9948056038"
"Elektronika","SOLIDNA OBUDOWA kieszeń DYSKU HDD 3,5 SATA USB 2.0","99,00 zł","59,99 zł","-39%","81 osób kupiło","https://allegro.pl/oferta/solidna-obudowa-kieszen-dysku-hdd-3-5-sata-usb-2-0-9635112344"
"Elektronika","SŁUCHAWKI TWS do SAMSUNG, XIAOMI, HUAWEI, IPHONE","199,00 zł","29,99 zł","wyprzedaż","1 osoba kupiła","https://allegro.pl/oferta/sluchawki-tws-do-samsung-xiaomi-huawei-iphone-10507752903"
"Elektronika","Czajnik elektryczny Vivax WH-120G","47,06 zł","42,35 zł","wyprzedaż","59 osób kupiło","https://allegro.pl/oferta/czajnik-elektryczny-vivax-wh-120g-8552028594"
